,date,open,close,high,low,volume,code
0,2000-01-04,-9.967,-9.881,-9.844,-10.016,38677.08,600104
1,2000-01-05,-9.881,-9.918,-9.844,-9.94,31082.24,600104
2,2000-01-06,-9.927,-9.778,-9.77,-9.952,44351.49,600104
3,2000-01-07,-9.773,-9.714,-9.635,-9.773,112187.11,600104
4,2000-01-10,-9.697,-9.662,-9.611,-9.699,130462.11,600104
5,2000-01-11,-9.672,-9.832,-9.672,-9.854,51213.24,600104
6,2000-01-12,-9.849,-9.893,-9.815,-9.903,25200.5,600104
7,2000-01-13,-9.893,-9.9,-9.868,-9.903,11946.9,600104
8,2000-01-14,-9.868,-9.925,-9.849,-9.935,13281.6,600104
9,2000-01-17,-9.918,-9.891,-9.846,-9.945,10577.83,600104
10,2000-01-18,-9.873,-9.903,-9.868,-9.918,13028.42,600104
11,2000-01-19,-9.903,-9.829,-9.785,-9.905,47814.7,600104
12,2000-01-20,-9.824,-9.807,-9.805,-9.864,28845.58,600104
13,2000-01-21,-9.807,-9.893,-9.8,-9.895,71363.9,600104
14,2000-01-24,-9.888,-9.881,-9.844,-9.942,43494.22,600104
15,2000-01-25,-9.893,-9.729,-9.66,-9.942,166608.57,600104
16,2000-01-26,-9.653,-9.819,-9.65,-9.844,113305.06,600104
17,2000-01-27,-9.8,-9.844,-9.775,-9.868,87885.7,600104
18,2000-01-28,-9.832,-9.748,-9.714,-9.849,136939.38,600104
19,2000-02-14,-9.648,-9.488,-9.488,-9.648,276381.23,600104
20,2000-02-15,-9.407,-9.66,-9.383,-9.68,257493.29,600104
21,2000-02-16,-9.66,-9.721,-9.618,-9.741,99479.25,600104
22,2000-02-17,-9.697,-9.653,-9.532,-9.746,192161.38,600104
23,2000-02-18,-9.464,-9.716,-9.464,-9.746,75484.46,600104
24,2000-02-21,-9.694,-9.697,-9.584,-9.738,108560.67,600104
25,2000-02-22,-9.653,-9.751,-9.648,-9.77,72907.78,600104
26,2000-02-23,-9.758,-9.839,-9.751,-9.844,48622.47,600104
27,2000-02-24,-9.839,-9.827,-9.783,-9.856,30649.0,600104
28,2000-02-25,-9.819,-9.861,-9.807,-9.881,40122.78,600104
29,2000-02-28,-9.864,-9.844,-9.802,-9.918,56291.23,600104
30,2000-02-29,-9.824,-9.77,-9.682,-9.834,82320.9,600104
31,2000-03-01,-9.714,-9.741,-9.65,-9.77,118894.15,600104
32,2000-03-02,-9.726,-9.795,-9.689,-9.832,51755.39,600104
33,2000-03-03,-9.795,-9.785,-9.746,-9.807,56257.59,600104
34,2000-03-06,-9.783,-9.8,-9.682,-9.805,54430.92,600104
35,2000-03-07,-9.8,-9.658,-9.621,-9.802,115521.53,600104
36,2000-03-08,-9.655,-9.719,-9.648,-9.746,44588.68,600104
37,2000-03-09,-9.721,-9.699,-9.653,-9.753,56216.73,600104
38,2000-03-10,-9.685,-9.79,-9.66,-9.795,48279.0,600104
39,2000-03-13,-9.783,-9.77,-9.721,-9.795,29731.59,600104
40,2000-03-14,-9.795,-9.849,-9.795,-9.895,69348.85,600104
41,2000-03-15,-9.844,-9.842,-9.8,-9.851,32728.75,600104
42,2000-03-16,-9.893,-9.893,-9.849,-9.918,51197.56,600104
43,2000-03-17,-9.893,-9.868,-9.861,-9.893,36192.68,600104
44,2000-03-20,-9.878,-9.829,-9.795,-9.886,31968.56,600104
45,2000-03-21,-9.819,-9.824,-9.812,-9.868,42215.51,600104
46,2000-03-22,-9.844,-9.844,-9.805,-9.859,40600.28,600104
47,2000-03-23,-9.832,-9.815,-9.78,-9.844,48733.99,600104
48,2000-03-24,-9.783,-9.859,-9.78,-9.868,54348.21,600104
49,2000-03-27,-9.854,-9.832,-9.832,-9.868,59352.46,600104
50,2000-03-28,-9.81,-9.665,-9.623,-9.822,214357.11,600104
51,2000-03-29,-9.66,-9.677,-9.643,-9.753,118605.24,600104
52,2000-03-30,-9.677,-9.67,-9.653,-9.721,66365.87,600104
53,2000-03-31,-9.672,-9.631,-9.554,-9.697,177993.4,600104
54,2000-04-03,-9.623,-9.682,-9.586,-9.694,76856.49,600104
55,2000-04-04,-9.697,-9.758,-9.694,-9.765,49093.3,600104
56,2000-04-05,-9.756,-9.704,-9.672,-9.758,53105.9,600104
57,2000-04-06,-9.704,-9.682,-9.653,-9.746,42492.32,600104
58,2000-04-07,-9.66,-9.648,-9.599,-9.694,89244.79,600104
59,2000-04-10,-9.628,-9.429,-9.378,-9.628,329813.57,600104
60,2000-04-11,-9.155,-9.469,-9.155,-9.51,242289.54,600104
61,2000-04-12,-9.476,-9.434,-9.282,-9.481,293578.97,600104
62,2000-04-13,-9.402,-9.348,-9.317,-9.449,184358.5,600104
63,2000-04-14,-9.329,-9.454,-9.309,-9.464,130572.17,600104
64,2000-04-17,-9.456,-9.574,-9.378,-9.604,161303.96,600104
65,2000-04-18,-9.55,-9.427,-9.42,-9.604,126028.96,600104
66,2000-04-19,-9.422,-9.358,-9.304,-9.451,265117.35,600104
67,2000-04-20,-9.329,-9.285,-9.213,-9.329,228494.78,600104
68,2000-04-21,-9.28,-9.378,-9.26,-9.383,107946.35,600104
69,2000-04-24,-9.378,-9.402,-9.302,-9.415,78579.71,600104
70,2000-04-25,-9.378,-9.451,-9.378,-9.481,65222.97,600104
71,2000-04-26,-9.439,-9.253,-9.236,-9.439,283701.71,600104
72,2000-04-27,-9.228,-9.341,-9.113,-9.378,360868.65,600104
73,2000-04-28,-9.309,-9.321,-9.28,-9.378,115312.5,600104
74,2000-05-08,-9.28,-9.162,-9.12,-9.297,254918.53,600104
