,date,open,close,high,low,volume,code
0,2001-08-08,-1.525,-1.669,-1.464,-1.699,6775532.96,600028
1,2001-08-09,-1.681,-1.723,-1.675,-1.747,1568097.52,600028
2,2001-08-10,-1.723,-1.681,-1.645,-1.735,808392.8,600028
3,2001-08-13,-1.687,-1.705,-1.669,-1.723,380127.25,600028
4,2001-08-14,-1.705,-1.717,-1.675,-1.723,282868.89,600028
5,2001-08-15,-1.723,-1.723,-1.705,-1.729,199026.88,600028
6,2001-08-16,-1.717,-1.741,-1.711,-1.741,236505.91,600028
7,2001-08-17,-1.735,-1.699,-1.681,-1.741,303868.64,600028
8,2001-08-20,-1.705,-1.729,-1.705,-1.735,106450.65,600028
9,2001-08-21,-1.723,-1.741,-1.717,-1.741,211548.66,600028
10,2001-08-22,-1.741,-1.801,-1.735,-1.807,781415.89,600028
11,2001-08-23,-1.813,-1.819,-1.807,-1.873,353094.1,600028
12,2001-08-27,-1.855,-1.909,-1.849,-1.939,338673.32,600028
13,2001-08-28,-1.927,-1.885,-1.879,-1.939,261038.17,600028
14,2001-08-29,-1.879,-1.903,-1.867,-1.903,127005.68,600028
15,2001-08-30,-1.903,-1.867,-1.861,-1.921,145031.34,600028
16,2001-08-31,-1.873,-1.891,-1.873,-1.891,54259.14,600028
17,2001-09-03,-1.891,-1.927,-1.891,-1.933,115897.99,600028
18,2001-09-04,-1.927,-1.897,-1.879,-1.927,120266.3,600028
19,2001-09-05,-1.885,-1.897,-1.879,-1.909,83984.02,600028
20,2001-09-06,-1.897,-1.915,-1.897,-1.921,78066.61,600028
21,2001-09-07,-1.915,-1.975,-1.915,-1.975,247704.68,600028
22,2001-09-10,-1.999,-1.951,-1.873,-2.029,194703.34,600028
23,2001-09-11,-1.945,-1.909,-1.891,-1.969,153925.61,600028
24,2001-09-12,-1.891,-1.801,-1.669,-1.903,1279531.84,600028
25,2001-09-13,-1.807,-1.891,-1.807,-1.903,304873.42,600028
26,2001-09-14,-1.897,-1.903,-1.861,-1.939,173685.29,600028
27,2001-09-17,-1.903,-1.945,-1.903,-1.951,153493.68,600028
28,2001-09-18,-1.927,-1.927,-1.897,-1.945,64116.59,600028
29,2001-09-19,-1.921,-1.915,-1.909,-1.945,55883.2,600028
30,2001-09-20,-1.909,-1.921,-1.897,-1.933,55770.94,600028
31,2001-09-21,-1.921,-1.933,-1.909,-1.951,70153.26,600028
32,2001-09-24,-1.933,-1.939,-1.927,-1.945,40785.4,600028
33,2001-09-25,-1.933,-1.933,-1.915,-1.951,72427.85,600028
34,2001-09-26,-1.939,-1.969,-1.939,-1.975,103798.86,600028
35,2001-09-27,-1.969,-1.969,-1.957,-1.981,66920.54,600028
36,2001-09-28,-1.969,-1.951,-1.945,-1.975,57090.59,600028
37,2001-10-08,-1.945,-1.969,-1.909,-1.975,56740.11,600028
38,2001-10-09,-1.969,-1.945,-1.939,-1.969,45095.79,600028
39,2001-10-10,-1.945,-1.999,-1.945,-2.005,112816.05,600028
40,2001-10-11,-1.999,-2.041,-1.981,-2.041,122171.3,600028
41,2001-10-12,-2.041,-1.981,-1.945,-2.101,187527.01,600028
42,2001-10-15,-1.987,-2.023,-1.987,-2.041,103305.12,600028
43,2001-10-16,-2.023,-2.071,-2.011,-2.089,123811.47,600028
44,2001-10-17,-2.053,-2.059,-1.987,-2.065,84659.52,600028
45,2001-10-18,-2.053,-2.065,-2.029,-2.077,65549.03,600028
46,2001-10-19,-2.065,-2.077,-2.005,-2.095,156436.63,600028
47,2001-10-22,-2.095,-2.125,-2.077,-2.138,121798.02,600028
48,2001-10-23,-1.975,-1.909,-1.909,-2.023,780288.75,600028
49,2001-10-24,-1.885,-1.945,-1.855,-1.975,532753.89,600028
50,2001-10-25,-1.957,-1.999,-1.945,-2.005,178966.93,600028
51,2001-10-26,-2.005,-1.993,-1.981,-2.071,185772.76,600028
52,2001-10-29,-1.999,-1.993,-1.969,-2.005,69287.59,600028
53,2001-10-30,-1.987,-2.023,-1.981,-2.029,80256.04,600028
54,2001-10-31,-2.023,-2.029,-2.023,-2.059,88237.01,600028
55,2001-11-01,-2.017,-2.005,-1.993,-2.029,79340.57,600028
56,2001-11-02,-2.011,-2.029,-1.981,-2.029,64173.0,600028
57,2001-11-05,-2.041,-2.023,-2.017,-2.053,60397.23,600028
58,2001-11-06,-2.023,-2.047,-2.017,-2.053,67488.51,600028
59,2001-11-07,-2.047,-2.095,-2.041,-2.101,134525.89,600028
60,2001-11-08,-2.192,-2.132,-2.119,-2.24,322510.42,600028
61,2001-11-09,-2.138,-2.132,-2.119,-2.168,88021.66,600028
62,2001-11-12,-2.125,-2.113,-2.083,-2.15,101803.29,600028
63,2001-11-13,-2.125,-2.095,-2.083,-2.156,67360.95,600028
64,2001-11-14,-2.095,-2.119,-2.089,-2.119,32496.95,600028
65,2001-11-15,-2.125,-2.107,-2.101,-2.132,60600.63,600028
66,2001-11-16,-2.017,-2.089,-1.975,-2.101,236143.59,600028
67,2001-11-19,-2.101,-2.077,-2.065,-2.113,69415.65,600028
68,2001-11-20,-2.077,-2.071,-2.053,-2.095,113718.91,600028
69,2001-11-21,-2.065,-2.077,-2.059,-2.083,55477.0,600028
70,2001-11-22,-2.077,-2.089,-2.071,-2.107,99220.58,600028
71,2001-11-23,-2.083,-2.071,-2.023,-2.083,143892.75,600028
72,2001-11-26,-2.077,-2.089,-2.077,-2.113,63325.4,600028
73,2001-11-27,-2.089,-2.089,-2.083,-2.107,58336.77,600028
74,2001-11-28,-2.089,-2.083,-2.077,-2.089,87926.6,600028
75,2001-11-29,-2.083,-2.095,-2.083,-2.107,118611.58,600028
76,2001-11-30,-2.095,-2.089,-2.089,-2.113,119004.47,600028
77,2001-12-03,-2.095,-2.071,-2.065,-2.101,180904.16,600028
78,2001-12-04,-2.077,-2.071,-2.065,-2.083,83850.55,600028
79,2001-12-05,-2.077,-2.077,-2.047,-2.095,216426.97,600028
80,2001-12-06,-2.077,-2.107,-2.071,-2.119,174436.07,600028
81,2001-12-07,-2.113,-2.113,-2.101,-2.119,146413.69,600028
82,2001-12-10,-2.132,-2.125,-2.107,-2.156,508288.01,600028
83,2001-12-11,-2.125,-2.138,-2.113,-2.15,168483.66,600028
84,2001-12-12,-2.144,-2.15,-2.132,-2.162,217108.39,600028
85,2001-12-13,-2.15,-2.18,-2.144,-2.186,261331.55,600028
86,2001-12-14,-2.18,-2.186,-2.174,-2.192,119079.02,600028
87,2001-12-17,-2.186,-2.198,-2.168,-2.204,143879.19,600028
88,2001-12-18,-2.192,-2.204,-2.186,-2.222,237223.88,600028
89,2001-12-19,-2.204,-2.204,-2.192,-2.204,101967.22,600028
90,2001-12-20,-2.204,-2.246,-2.204,-2.258,290385.05,600028
91,2001-12-21,-2.258,-2.252,-2.24,-2.264,131305.4,600028
92,2001-12-24,-2.252,-2.312,-2.246,-2.318,202228.14,600028
93,2001-12-25,-2.312,-2.306,-2.3,-2.366,169604.09,600028
94,2001-12-26,-2.306,-2.264,-2.252,-2.324,229638.93,600028
95,2001-12-27,-2.264,-2.258,-2.21,-2.264,314624.95,600028
96,2001-12-28,-2.258,-2.216,-2.21,-2.264,239555.98,600028
97,2001-12-31,-2.216,-2.216,-2.192,-2.222,160699.85,600028
98,2002-01-04,-2.216,-2.264,-2.216,-2.27,85184.0,600028
99,2002-01-07,-2.27,-2.27,-2.258,-2.312,93839.66,600028
100,2002-01-08,-2.276,-2.288,-2.252,-2.288,59570.45,600028
101,2002-01-09,-2.288,-2.27,-2.204,-2.318,122261.79,600028
102,2002-01-10,-2.27,-2.264,-2.258,-2.324,165236.68,600028
103,2002-01-11,-2.27,-2.306,-2.27,-2.312,146738.01,600028
104,2002-01-14,-2.318,-2.33,-2.276,-2.342,185205.85,600028
105,2002-01-15,-2.336,-2.348,-2.312,-2.354,152561.3,600028
106,2002-01-16,-2.348,-2.324,-2.306,-2.372,184989.17,600028
107,2002-01-17,-2.33,-2.354,-2.3,-2.36,154620.87,600028
108,2002-01-18,-2.366,-2.366,-2.342,-2.402,234523.67,600028
109,2002-01-21,-2.378,-2.414,-2.354,-2.42,148176.05,600028
110,2002-01-22,-2.426,-2.45,-2.384,-2.45,201330.66,600028
111,2002-01-23,-2.45,-2.378,-2.378,-2.492,301022.31,600028
112,2002-01-24,-2.384,-2.348,-2.318,-2.444,407833.02,600028
113,2002-01-25,-2.36,-2.378,-2.354,-2.39,159873.52,600028
114,2002-01-28,-2.396,-2.48,-2.384,-2.486,365514.17,600028
115,2002-01-29,-2.498,-2.456,-2.45,-2.51,135337.23,600028
116,2002-01-30,-2.456,-2.48,-2.45,-2.492,114630.51,600028
117,2002-01-31,-2.468,-2.39,-2.372,-2.468,446823.04,600028
118,2002-02-01,-2.39,-2.42,-2.384,-2.432,228557.37,600028
119,2002-02-04,-2.414,-2.396,-2.39,-2.438,125601.58,600028
120,2002-02-05,-2.396,-2.372,-2.372,-2.408,202308.92,600028
121,2002-02-06,-2.372,-2.402,-2.36,-2.408,153508.8,600028
122,2002-02-07,-2.408,-2.36,-2.348,-2.414,303937.83,600028
123,2002-02-08,-2.36,-2.378,-2.348,-2.39,193642.01,600028
124,2002-02-25,-2.354,-2.372,-2.348,-2.384,181300.77,600028
125,2002-02-26,-2.372,-2.384,-2.372,-2.408,109866.12,600028
126,2002-02-27,-2.384,-2.354,-2.342,-2.408,240185.15,600028
127,2002-02-28,-2.36,-2.372,-2.342,-2.378,123394.73,600028
128,2002-03-01,-2.372,-2.39,-2.366,-2.396,99980.6,600028
129,2002-03-04,-2.384,-2.378,-2.372,-2.39,63027.52,600028
130,2002-03-05,-2.366,-2.348,-2.336,-2.378,287331.75,600028
131,2002-03-06,-2.348,-2.342,-2.318,-2.354,308359.43,600028
132,2002-03-07,-2.342,-2.312,-2.312,-2.342,270273.27,600028
133,2002-03-08,-2.306,-2.246,-2.204,-2.306,908554.76,600028
134,2002-03-11,-2.27,-2.258,-2.246,-2.288,359726.4,600028
135,2002-03-12,-2.258,-2.258,-2.204,-2.27,594884.49,600028
136,2002-03-13,-2.258,-2.276,-2.228,-2.276,260363.91,600028
137,2002-03-14,-2.276,-2.252,-2.246,-2.288,191670.93,600028
138,2002-03-15,-2.234,-2.288,-2.234,-2.294,237921.0,600028
139,2002-03-18,-2.264,-2.306,-2.252,-2.324,160662.52,600028
140,2002-03-19,-2.306,-2.27,-2.27,-2.306,113691.03,600028
141,2002-03-20,-2.258,-2.258,-2.246,-2.276,236502.76,600028
142,2002-03-21,-2.258,-2.252,-2.216,-2.264,240193.6,600028
143,2002-03-22,-2.252,-2.258,-2.228,-2.264,177521.46,600028
144,2002-03-25,-2.258,-2.264,-2.252,-2.276,109447.32,600028
145,2002-03-26,-2.264,-2.294,-2.264,-2.294,161432.93,600028
146,2002-03-27,-2.282,-2.3,-2.282,-2.306,105747.44,600028
147,2002-03-28,-2.294,-2.312,-2.288,-2.318,131260.6,600028
