,date,open,close,high,low,volume,code
0,2003-12-16,-0.413,-0.415,-0.394,-0.416,72041.81,600570
1,2003-12-17,-0.429,-0.453,-0.429,-0.454,34778.66,600570
2,2003-12-18,-0.463,-0.462,-0.453,-0.464,13181.73,600570
3,2003-12-19,-0.464,-0.482,-0.46,-0.492,21080.17,600570
4,2003-12-22,-0.489,-0.478,-0.475,-0.494,12134.52,600570
5,2003-12-23,-0.482,-0.484,-0.477,-0.489,6914.33,600570
6,2003-12-24,-0.486,-0.488,-0.48,-0.493,7574.44,600570
7,2003-12-25,-0.48,-0.48,-0.477,-0.49,6227.82,600570
8,2003-12-26,-0.479,-0.473,-0.455,-0.482,13129.89,600570
9,2003-12-29,-0.472,-0.477,-0.465,-0.48,5465.22,600570
10,2003-12-30,-0.478,-0.483,-0.477,-0.487,4434.89,600570
11,2003-12-31,-0.484,-0.473,-0.459,-0.484,9737.04,600570
12,2004-01-02,-0.477,-0.473,-0.462,-0.477,5035.6,600570
13,2004-01-05,-0.473,-0.462,-0.455,-0.474,7603.44,600570
14,2004-01-06,-0.46,-0.456,-0.454,-0.471,9248.49,600570
15,2004-01-07,-0.458,-0.46,-0.451,-0.465,9666.02,600570
16,2004-01-08,-0.46,-0.431,-0.424,-0.46,19984.83,600570
17,2004-01-09,-0.431,-0.45,-0.425,-0.451,12326.99,600570
18,2004-01-12,-0.449,-0.443,-0.443,-0.459,5770.62,600570
19,2004-01-13,-0.443,-0.453,-0.437,-0.456,7136.22,600570
20,2004-01-14,-0.454,-0.454,-0.445,-0.462,4815.55,600570
21,2004-01-15,-0.445,-0.446,-0.434,-0.447,8330.94,600570
22,2004-01-16,-0.446,-0.438,-0.436,-0.451,7362.09,600570
23,2004-01-30,-0.418,-0.443,-0.411,-0.444,10695.53,600570
24,2004-02-02,-0.439,-0.441,-0.426,-0.452,5801.26,600570
25,2004-02-03,-0.441,-0.401,-0.393,-0.441,31963.68,600570
26,2004-02-04,-0.404,-0.408,-0.403,-0.418,13615.98,600570
27,2004-02-05,-0.407,-0.392,-0.374,-0.411,14403.8,600570
28,2004-02-06,-0.392,-0.399,-0.39,-0.399,6929.41,600570
29,2004-02-09,-0.398,-0.392,-0.388,-0.401,6167.34,600570
30,2004-02-10,-0.392,-0.405,-0.389,-0.41,6342.75,600570
31,2004-02-11,-0.408,-0.403,-0.394,-0.411,4696.38,600570
32,2004-02-12,-0.403,-0.404,-0.394,-0.405,4155.0,600570
33,2004-02-13,-0.401,-0.393,-0.381,-0.403,9470.68,600570
34,2004-02-16,-0.388,-0.368,-0.358,-0.388,12235.07,600570
35,2004-02-17,-0.363,-0.367,-0.351,-0.373,14204.52,600570
36,2004-02-18,-0.368,-0.373,-0.364,-0.381,6864.87,600570
37,2004-02-19,-0.373,-0.363,-0.358,-0.375,7164.37,600570
38,2004-02-20,-0.363,-0.365,-0.359,-0.375,6459.32,600570
39,2004-02-23,-0.31,-0.348,-0.31,-0.35,26336.31,600570
40,2004-02-24,-0.351,-0.354,-0.348,-0.363,8555.21,600570
41,2004-02-25,-0.354,-0.362,-0.33,-0.364,9590.68,600570
42,2004-02-26,-0.363,-0.389,-0.355,-0.404,10729.88,600570
43,2004-02-27,-0.376,-0.374,-0.369,-0.386,5304.32,600570
44,2004-03-01,-0.378,-0.383,-0.374,-0.396,5027.88,600570
45,2004-03-02,-0.383,-0.386,-0.381,-0.392,4977.91,600570
46,2004-03-03,-0.386,-0.396,-0.383,-0.396,4504.22,600570
47,2004-03-04,-0.396,-0.385,-0.378,-0.399,4084.41,600570
48,2004-03-05,-0.383,-0.391,-0.381,-0.394,3759.71,600570
49,2004-03-08,-0.391,-0.392,-0.369,-0.393,5553.37,600570
50,2004-03-09,-0.393,-0.381,-0.341,-0.394,7399.89,600570
51,2004-03-10,-0.382,-0.373,-0.372,-0.383,3725.25,600570
