,date,open,close,high,low,volume,code
0,2002-04-09,-5.433,-5.394,-5.337,-5.433,4141088.31,600036
1,2002-04-10,-5.394,-5.41,-5.384,-5.464,679454.75,600036
2,2002-04-11,-5.41,-5.43,-5.389,-5.438,227882.55,600036
3,2002-04-12,-5.435,-5.417,-5.399,-5.44,212564.63,600036
4,2002-04-15,-5.417,-5.464,-5.41,-5.474,185311.04,600036
5,2002-04-16,-5.474,-5.523,-5.464,-5.528,249254.91,600036
6,2002-04-17,-5.525,-5.507,-5.497,-5.541,114593.39,600036
7,2002-04-18,-5.513,-5.533,-5.513,-5.538,85332.79,600036
8,2002-04-19,-5.538,-5.528,-5.525,-5.567,157222.49,600036
9,2002-04-22,-5.538,-5.562,-5.538,-5.567,65938.27,600036
10,2002-04-23,-5.564,-5.564,-5.541,-5.587,73765.44,600036
11,2002-04-24,-5.564,-5.623,-5.564,-5.641,172413.56,600036
12,2002-04-25,-5.628,-5.613,-5.603,-5.631,99602.72,600036
13,2002-04-26,-5.61,-5.605,-5.592,-5.616,81692.13,600036
14,2002-04-29,-5.605,-5.603,-5.595,-5.639,90360.87,600036
15,2002-04-30,-5.592,-5.559,-5.525,-5.616,182625.05,600036
16,2002-05-08,-5.564,-5.59,-5.556,-5.595,42283.58,600036
17,2002-05-09,-5.592,-5.58,-5.543,-5.595,44703.94,600036
18,2002-05-10,-5.587,-5.613,-5.582,-5.616,46384.8,600036
19,2002-05-13,-5.616,-5.662,-5.616,-5.672,127254.97,600036
20,2002-05-14,-5.667,-5.698,-5.657,-5.703,82399.48,600036
21,2002-05-15,-5.703,-5.747,-5.68,-5.75,97083.85,600036
22,2002-05-16,-5.75,-5.783,-5.75,-5.804,195171.41,600036
23,2002-05-17,-5.775,-5.757,-5.744,-5.809,100101.12,600036
24,2002-05-20,-5.788,-5.827,-5.775,-5.84,112970.72,600036
25,2002-05-21,-5.775,-5.775,-5.757,-5.814,126083.52,600036
26,2002-05-22,-5.773,-5.837,-5.77,-5.845,73383.58,600036
27,2002-05-23,-5.835,-5.827,-5.788,-5.837,71889.25,600036
28,2002-05-24,-5.827,-5.855,-5.811,-5.883,105260.0,600036
29,2002-05-27,-5.85,-5.845,-5.835,-5.878,54394.44,600036
30,2002-05-28,-5.845,-5.842,-5.824,-5.847,56076.77,600036
31,2002-05-29,-5.842,-5.907,-5.837,-5.919,74801.5,600036
32,2002-05-30,-5.909,-5.886,-5.878,-5.945,131798.29,600036
33,2002-05-31,-5.891,-5.899,-5.858,-5.909,46691.99,600036
34,2002-06-04,-5.917,-5.858,-5.822,-5.94,213157.6,600036
35,2002-06-05,-5.765,-5.889,-5.765,-5.894,91494.76,600036
36,2002-06-06,-5.889,-5.822,-5.801,-5.904,125309.92,600036
37,2002-06-07,-5.819,-5.827,-5.806,-5.847,117606.56,600036
38,2002-06-10,-5.827,-5.824,-5.806,-5.84,49101.42,600036
39,2002-06-11,-5.824,-5.837,-5.819,-5.842,28481.53,600036
40,2002-06-12,-5.822,-5.855,-5.822,-5.873,30367.53,600036
41,2002-06-13,-5.855,-5.883,-5.855,-5.886,28614.62,600036
42,2002-06-14,-5.886,-5.904,-5.886,-5.907,29395.0,600036
43,2002-06-17,-5.912,-5.909,-5.909,-5.93,30367.71,600036
44,2002-06-18,-5.909,-5.871,-5.86,-5.912,53175.74,600036
45,2002-06-19,-5.871,-5.904,-5.868,-5.912,27745.19,600036
46,2002-06-20,-5.904,-5.891,-5.865,-5.907,41083.0,600036
47,2002-06-21,-5.886,-5.829,-5.798,-5.894,149473.63,600036
48,2002-06-24,-5.598,-5.598,-5.598,-5.69,950650.27,600036
49,2002-06-25,-5.567,-5.448,-5.345,-5.613,1495149.53,600036
50,2002-06-26,-5.474,-5.505,-5.41,-5.525,419636.72,600036
51,2002-06-27,-5.505,-5.435,-5.41,-5.518,414427.17,600036
52,2002-06-28,-5.433,-5.165,-5.165,-5.433,1560153.69,600036
53,2002-07-01,-5.126,-5.157,-5.09,-5.204,905836.32,600036
54,2002-07-02,-5.165,-5.193,-5.162,-5.26,379552.68,600036
55,2002-07-03,-5.204,-5.186,-5.129,-5.227,256837.2,600036
56,2002-07-04,-5.178,-5.278,-5.157,-5.322,419516.94,600036
57,2002-07-05,-5.307,-5.229,-5.219,-5.327,337472.27,600036
58,2002-07-08,-5.258,-5.219,-5.126,-5.258,419315.94,600036
59,2002-07-09,-5.216,-5.139,-5.119,-5.216,539128.74,600036
60,2002-07-10,-5.139,-5.227,-5.07,-5.232,1036685.59,600036
61,2002-07-11,-5.25,-5.258,-5.204,-5.268,313053.63,600036
62,2002-07-12,-5.258,-5.299,-5.242,-5.312,324936.6,600036
