,date,open,close,high,low,volume,code
0,2000-12-19,-1.591,-1.672,-1.534,-1.676,1563524.56,600016
1,2000-12-20,-1.677,-1.698,-1.677,-1.709,290467.13,600016
2,2000-12-21,-1.694,-1.699,-1.677,-1.704,113629.56,600016
3,2000-12-22,-1.698,-1.723,-1.694,-1.726,130264.88,600016
4,2000-12-25,-1.726,-1.749,-1.725,-1.76,101131.2,600016
5,2000-12-26,-1.749,-1.742,-1.732,-1.75,65390.33,600016
6,2000-12-27,-1.741,-1.754,-1.739,-1.757,68140.34,600016
7,2000-12-28,-1.755,-1.756,-1.75,-1.759,69214.79,600016
8,2000-12-29,-1.755,-1.748,-1.739,-1.757,39852.26,600016
9,2001-01-02,-1.746,-1.738,-1.729,-1.755,54400.19,600016
10,2001-01-03,-1.735,-1.743,-1.734,-1.748,43223.53,600016
11,2001-01-04,-1.741,-1.751,-1.738,-1.755,52051.97,600016
12,2001-01-05,-1.753,-1.765,-1.752,-1.773,93185.94,600016
13,2001-01-08,-1.767,-1.783,-1.766,-1.788,64524.15,600016
14,2001-01-09,-1.784,-1.759,-1.756,-1.788,53364.77,600016
15,2001-01-10,-1.757,-1.759,-1.751,-1.772,39011.53,600016
16,2001-01-11,-1.759,-1.739,-1.721,-1.76,130539.88,600016
17,2001-01-12,-1.738,-1.73,-1.726,-1.749,61131.46,600016
18,2001-01-15,-1.73,-1.774,-1.729,-1.783,74781.91,600016
19,2001-01-16,-1.774,-1.759,-1.755,-1.779,48247.76,600016
20,2001-01-17,-1.757,-1.75,-1.733,-1.76,34329.19,600016
21,2001-01-18,-1.749,-1.737,-1.729,-1.755,48837.96,600016
22,2001-01-19,-1.735,-1.729,-1.726,-1.749,61836.05,600016
23,2001-02-05,-1.725,-1.76,-1.724,-1.761,31211.52,600016
24,2001-02-06,-1.76,-1.759,-1.759,-1.782,29021.13,600016
25,2001-02-07,-1.759,-1.769,-1.757,-1.772,12937.18,600016
26,2001-02-08,-1.769,-1.786,-1.766,-1.787,30911.2,600016
27,2001-02-09,-1.785,-1.769,-1.761,-1.787,22112.49,600016
28,2001-02-12,-1.769,-1.759,-1.75,-1.778,25582.16,600016
29,2001-02-13,-1.757,-1.765,-1.755,-1.769,11469.4,600016
30,2001-02-14,-1.765,-1.768,-1.76,-1.772,11984.7,600016
31,2001-02-15,-1.772,-1.777,-1.766,-1.78,12502.99,600016
32,2001-02-16,-1.778,-1.787,-1.777,-1.797,33955.13,600016
33,2001-02-19,-1.789,-1.774,-1.772,-1.789,9759.07,600016
34,2001-02-20,-1.766,-1.782,-1.763,-1.784,17381.78,600016
35,2001-02-21,-1.782,-1.8,-1.779,-1.805,31962.93,600016
36,2001-02-22,-1.805,-1.808,-1.795,-1.811,16949.6,600016
37,2001-02-23,-1.808,-1.784,-1.783,-1.808,15168.96,600016
38,2001-02-26,-1.783,-1.781,-1.772,-1.789,17714.53,600016
39,2001-02-27,-1.78,-1.787,-1.778,-1.79,12256.05,600016
40,2001-02-28,-1.787,-1.794,-1.785,-1.795,13466.8,600016
41,2001-03-01,-1.794,-1.789,-1.777,-1.795,10301.62,600016
42,2001-03-02,-1.783,-1.755,-1.734,-1.79,128507.31,600016
43,2001-03-05,-1.754,-1.759,-1.741,-1.76,42455.09,600016
44,2001-03-06,-1.759,-1.748,-1.741,-1.768,36464.35,600016
45,2001-03-07,-1.749,-1.742,-1.729,-1.757,62748.68,600016
46,2001-03-08,-1.743,-1.72,-1.705,-1.744,156690.86,600016
47,2001-03-09,-1.713,-1.726,-1.712,-1.737,51550.89,600016
48,2001-03-12,-1.726,-1.739,-1.722,-1.743,23292.77,600016
49,2001-03-13,-1.743,-1.749,-1.734,-1.755,30615.89,600016
50,2001-03-14,-1.75,-1.73,-1.718,-1.754,47520.62,600016
51,2001-03-15,-1.738,-1.74,-1.729,-1.743,26819.71,600016
52,2001-03-16,-1.74,-1.743,-1.726,-1.749,25774.38,600016
53,2001-03-19,-1.743,-1.741,-1.738,-1.752,23081.33,600016
54,2001-03-20,-1.74,-1.737,-1.732,-1.747,16746.75,600016
55,2001-03-21,-1.737,-1.717,-1.705,-1.738,92079.14,600016
56,2001-03-22,-1.712,-1.712,-1.705,-1.718,79895.01,600016
57,2001-03-23,-1.712,-1.738,-1.709,-1.739,50482.82,600016
58,2001-03-26,-1.739,-1.726,-1.715,-1.74,38471.81,600016
59,2001-03-27,-1.721,-1.721,-1.712,-1.732,23060.24,600016
60,2001-03-28,-1.721,-1.72,-1.715,-1.728,41053.9,600016
61,2001-03-29,-1.716,-1.7,-1.685,-1.716,126068.61,600016
62,2001-03-30,-1.698,-1.695,-1.688,-1.699,58214.4,600016
63,2001-04-02,-1.666,-1.665,-1.65,-1.677,151478.78,600016
64,2001-04-03,-1.665,-1.658,-1.657,-1.673,68766.91,600016
65,2001-04-04,-1.657,-1.67,-1.639,-1.675,137850.04,600016
66,2001-04-05,-1.671,-1.651,-1.65,-1.675,51243.36,600016
67,2001-04-06,-1.648,-1.655,-1.643,-1.659,38885.45,600016
68,2001-04-09,-1.656,-1.655,-1.65,-1.661,29704.8,600016
69,2001-04-10,-1.652,-1.639,-1.635,-1.652,61544.46,600016
70,2001-04-11,-1.637,-1.634,-1.628,-1.643,72837.87,600016
71,2001-04-12,-1.631,-1.644,-1.63,-1.645,51702.41,600016
72,2001-04-13,-1.644,-1.643,-1.633,-1.659,60189.68,600016
73,2001-04-16,-1.643,-1.646,-1.639,-1.649,54831.83,600016
74,2001-04-17,-1.646,-1.654,-1.646,-1.657,40056.02,600016
75,2001-04-18,-1.654,-1.654,-1.648,-1.66,40147.59,600016
76,2001-04-19,-1.655,-1.664,-1.653,-1.676,53511.11,600016
77,2001-04-20,-1.665,-1.672,-1.648,-1.673,48586.2,600016
78,2001-04-23,-1.681,-1.676,-1.673,-1.689,41794.95,600016
79,2001-04-24,-1.676,-1.671,-1.667,-1.677,21162.5,600016
80,2001-04-25,-1.671,-1.695,-1.665,-1.705,65724.26,600016
81,2001-04-26,-1.697,-1.689,-1.681,-1.702,27915.71,600016
82,2001-04-27,-1.689,-1.678,-1.671,-1.693,30719.29,600016
83,2001-04-30,-1.678,-1.669,-1.665,-1.678,31707.43,600016
84,2001-05-08,-1.669,-1.665,-1.663,-1.671,21155.83,600016
