,date,open,close,high,low,volume,code
0,2000-01-04,-1.542,-1.473,-1.448,-1.568,44960.68,600000
1,2000-01-05,-1.473,-1.507,-1.425,-1.522,52528.14,600000
2,2000-01-06,-1.518,-1.424,-1.388,-1.533,62296.51,600000
3,2000-01-07,-1.388,-1.318,-1.248,-1.409,213553.3,600000
4,2000-01-10,-1.306,-1.277,-1.207,-1.34,165397.31,600000
5,2000-01-11,-1.277,-1.399,-1.271,-1.409,93907.76,600000
6,2000-01-12,-1.423,-1.525,-1.423,-1.563,352749.13,600000
7,2000-01-13,-1.539,-1.551,-1.51,-1.563,79756.43,600000
8,2000-01-14,-1.553,-1.632,-1.539,-1.666,178618.76,600000
9,2000-01-17,-1.646,-1.609,-1.604,-1.685,81015.23,600000
10,2000-01-18,-1.597,-1.639,-1.589,-1.67,76933.16,600000
11,2000-01-19,-1.639,-1.641,-1.622,-1.658,46584.11,600000
12,2000-01-20,-1.642,-1.604,-1.58,-1.644,51144.18,600000
13,2000-01-21,-1.596,-1.624,-1.582,-1.646,81386.69,600000
14,2000-01-24,-1.632,-1.635,-1.627,-1.662,92502.5,600000
15,2000-01-25,-1.635,-1.587,-1.521,-1.635,77422.75,600000
16,2000-01-26,-1.586,-1.608,-1.563,-1.62,27377.53,600000
17,2000-01-27,-1.601,-1.587,-1.565,-1.632,63350.55,600000
18,2000-01-28,-1.586,-1.535,-1.528,-1.591,123627.12,600000
19,2000-02-14,-1.423,-1.283,-1.25,-1.481,237391.32,600000
20,2000-02-15,-1.283,-1.46,-1.25,-1.463,262676.78,600000
21,2000-02-16,-1.481,-1.516,-1.475,-1.55,190690.58,600000
22,2000-02-17,-1.51,-1.551,-1.376,-1.629,230447.92,600000
23,2000-02-18,-1.551,-1.577,-1.539,-1.621,96934.63,600000
24,2000-02-21,-1.568,-1.446,-1.388,-1.632,255105.75,600000
25,2000-02-22,-1.437,-1.568,-1.423,-1.586,105175.12,600000
26,2000-02-23,-1.586,-1.586,-1.51,-1.597,69145.67,600000
27,2000-02-24,-1.586,-1.56,-1.539,-1.597,46481.17,600000
28,2000-02-25,-1.551,-1.586,-1.543,-1.597,58148.12,600000
29,2000-02-28,-1.586,-1.53,-1.51,-1.615,93734.18,600000
30,2000-02-29,-1.515,-1.519,-1.469,-1.563,109559.08,600000
31,2000-03-01,-1.516,-1.444,-1.294,-1.519,417051.02,600000
32,2000-03-02,-1.448,-1.49,-1.423,-1.528,129998.93,600000
33,2000-03-03,-1.469,-1.423,-1.341,-1.472,161098.28,600000
34,2000-03-06,-1.367,-1.469,-1.318,-1.475,206161.64,600000
35,2000-03-07,-1.516,-1.446,-1.388,-1.538,111329.97,600000
36,2000-03-08,-1.423,-1.459,-1.402,-1.489,57714.22,600000
37,2000-03-09,-1.458,-1.376,-1.249,-1.495,264909.73,600000
38,2000-03-10,-1.376,-1.467,-1.364,-1.48,105700.04,600000
39,2000-03-13,-1.469,-1.477,-1.425,-1.497,55663.74,600000
40,2000-03-14,-1.539,-1.49,-1.49,-1.563,113751.55,600000
41,2000-03-15,-1.493,-1.523,-1.49,-1.539,42199.78,600000
42,2000-03-16,-1.539,-1.597,-1.53,-1.623,75702.41,600000
43,2000-03-17,-1.597,-1.556,-1.516,-1.609,42704.47,600000
44,2000-03-20,-1.597,-1.537,-1.516,-1.597,43876.04,600000
45,2000-03-21,-1.518,-1.539,-1.516,-1.56,44099.04,600000
46,2000-03-22,-1.53,-1.5,-1.456,-1.553,45220.34,600000
47,2000-03-23,-1.498,-1.48,-1.46,-1.516,58872.05,600000
48,2000-03-24,-1.421,-1.48,-1.3,-1.48,218564.15,600000
49,2000-03-27,-1.456,-1.434,-1.392,-1.493,61611.35,600000
50,2000-03-28,-1.419,-1.481,-1.388,-1.51,70742.01,600000
51,2000-03-29,-1.475,-1.518,-1.458,-1.532,74952.0,600000
52,2000-03-30,-1.51,-1.495,-1.455,-1.51,44007.62,600000
53,2000-03-31,-1.487,-1.514,-1.472,-1.528,43203.94,600000
54,2000-04-03,-1.516,-1.511,-1.481,-1.528,34984.0,600000
55,2000-04-04,-1.516,-1.551,-1.516,-1.556,43070.82,600000
56,2000-04-05,-1.551,-1.522,-1.482,-1.553,34270.19,600000
57,2000-04-06,-1.522,-1.503,-1.494,-1.532,29275.97,600000
58,2000-04-07,-1.49,-1.459,-1.434,-1.495,60063.21,600000
59,2000-04-10,-1.455,-1.476,-1.434,-1.489,33278.29,600000
60,2000-04-11,-1.469,-1.474,-1.413,-1.493,62139.2,600000
61,2000-04-12,-1.467,-1.487,-1.423,-1.498,46344.05,600000
62,2000-04-13,-1.487,-1.469,-1.437,-1.493,42065.47,600000
63,2000-04-14,-1.46,-1.442,-1.399,-1.469,112504.59,600000
64,2000-04-17,-1.423,-1.504,-1.399,-1.518,79768.87,600000
65,2000-04-18,-1.503,-1.502,-1.487,-1.538,38945.19,600000
66,2000-04-19,-1.487,-1.504,-1.448,-1.517,27555.74,600000
67,2000-04-20,-1.504,-1.502,-1.481,-1.517,36366.78,600000
68,2000-04-21,-1.539,-1.522,-1.482,-1.539,39655.15,600000
69,2000-04-24,-1.522,-1.56,-1.516,-1.568,59137.94,600000
70,2000-04-25,-1.561,-1.558,-1.529,-1.565,23095.21,600000
71,2000-04-26,-1.553,-1.539,-1.473,-1.563,35593.9,600000
72,2000-04-27,-1.539,-1.57,-1.516,-1.577,32841.72,600000
73,2000-04-28,-1.57,-1.539,-1.539,-1.58,32108.49,600000
74,2000-05-09,-1.551,-1.606,-1.551,-1.615,26060.7,600000
75,2000-05-10,-1.609,-1.656,-1.596,-1.658,58738.23,600000
76,2000-05-11,-1.656,-1.667,-1.624,-1.679,33882.86,600000
77,2000-05-12,-1.664,-1.663,-1.644,-1.673,29692.71,600000
78,2000-05-15,-1.662,-1.765,-1.656,-1.771,40783.42,600000
79,2000-05-16,-1.764,-1.749,-1.72,-1.765,20713.22,600000
80,2000-05-17,-1.743,-1.755,-1.732,-1.765,21336.28,600000
81,2000-05-18,-1.755,-1.743,-1.737,-1.772,29466.88,600000
82,2000-05-19,-1.737,-1.714,-1.692,-1.743,27920.52,600000
83,2000-05-22,-1.714,-1.692,-1.67,-1.737,36081.95,600000
84,2000-05-23,-1.673,-1.718,-1.66,-1.737,28879.79,600000
85,2000-05-24,-1.714,-1.699,-1.679,-1.737,34564.8,600000
86,2000-05-25,-1.691,-1.622,-1.597,-1.697,76043.21,600000
87,2000-05-26,-1.617,-1.667,-1.603,-1.673,36149.87,600000
88,2000-05-29,-1.667,-1.686,-1.658,-1.702,31477.35,600000
89,2000-05-30,-1.686,-1.726,-1.662,-1.732,29706.93,600000
90,2000-05-31,-1.726,-1.72,-1.67,-1.737,35973.44,600000
91,2000-06-01,-1.714,-1.721,-1.693,-1.73,22703.25,600000
92,2000-06-02,-1.714,-1.691,-1.659,-1.726,30472.12,600000
93,2000-06-05,-1.679,-1.697,-1.659,-1.704,36028.26,600000
94,2000-06-06,-1.695,-1.674,-1.658,-1.697,26269.91,600000
95,2000-06-07,-1.667,-1.665,-1.635,-1.688,35076.74,600000
96,2000-06-08,-1.657,-1.666,-1.616,-1.678,42101.26,600000
97,2000-06-09,-1.656,-1.708,-1.627,-1.713,24508.94,600000
98,2000-06-12,-1.714,-1.7,-1.688,-1.727,19572.84,600000
99,2000-06-13,-1.693,-1.674,-1.656,-1.695,17875.46,600000
100,2000-06-14,-1.656,-1.635,-1.575,-1.662,95156.24,600000
