,date,open,close,high,low,volume,code
0,2001-08-27,-136.838,-136.715,-136.451,-137.035,406318.0,600519
1,2001-08-28,-136.781,-136.56,-136.543,-136.826,129647.79,600519
2,2001-08-29,-136.546,-136.617,-136.543,-136.65,53252.75,600519
3,2001-08-30,-136.629,-136.531,-136.483,-136.662,48013.06,600519
4,2001-08-31,-136.525,-136.542,-136.47,-136.567,23231.48,600519
5,2001-09-03,-136.52,-136.544,-136.476,-136.561,22112.09,600519
6,2001-09-04,-136.542,-136.489,-136.415,-136.557,37006.77,600519
7,2001-09-05,-136.471,-136.491,-136.434,-136.518,26066.95,600519
8,2001-09-06,-136.502,-136.579,-136.488,-136.601,28997.03,600519
9,2001-09-07,-136.602,-136.7,-136.549,-136.703,31552.25,600519
10,2001-09-10,-136.733,-136.579,-136.561,-136.779,18878.89,600519
11,2001-09-11,-136.567,-136.627,-136.549,-136.638,11390.81,600519
12,2001-09-12,-136.741,-136.664,-136.638,-136.745,25045.19,600519
13,2001-09-13,-136.661,-136.675,-136.626,-136.697,10986.68,600519
14,2001-09-14,-136.661,-136.626,-136.602,-136.685,7672.83,600519
15,2001-09-17,-136.652,-136.681,-136.627,-136.721,8983.97,600519
16,2001-09-18,-136.676,-136.632,-136.597,-136.679,10773.26,600519
17,2001-09-19,-136.626,-136.553,-136.553,-136.655,8650.53,600519
18,2001-09-20,-136.555,-136.589,-136.537,-136.602,11173.35,600519
19,2001-09-21,-136.629,-136.655,-136.591,-136.662,7879.72,600519
20,2001-09-24,-136.655,-136.656,-136.616,-136.662,4068.6,600519
21,2001-09-25,-136.629,-136.634,-136.598,-136.656,3488.45,600519
22,2001-09-26,-136.649,-136.652,-136.605,-136.662,4956.26,600519
23,2001-09-27,-136.652,-136.579,-136.546,-136.662,8778.04,600519
24,2001-09-28,-136.555,-136.533,-136.52,-136.602,17088.47,600519
25,2001-10-08,-136.543,-136.593,-136.522,-136.632,6552.17,600519
26,2001-10-09,-136.591,-136.508,-136.484,-136.591,9558.52,600519
27,2001-10-10,-136.508,-136.65,-136.492,-136.658,17548.69,600519
28,2001-10-11,-136.661,-136.691,-136.602,-136.703,12306.84,600519
29,2001-10-12,-136.674,-136.662,-136.585,-136.893,20010.7,600519
30,2001-10-15,-136.674,-136.745,-136.662,-136.792,9755.31,600519
31,2001-10-16,-136.765,-136.804,-136.685,-136.81,8319.91,600519
32,2001-10-17,-136.805,-136.875,-136.803,-136.91,12507.68,600519
33,2001-10-18,-136.875,-136.894,-136.82,-136.909,4983.46,600519
34,2001-10-19,-136.899,-136.958,-136.881,-137.016,15687.54,600519
35,2001-10-22,-136.982,-137.042,-136.934,-137.053,9760.65,600519
36,2001-10-23,-136.662,-136.653,-136.653,-136.779,40598.24,600519
37,2001-10-24,-136.569,-136.678,-136.567,-136.767,40682.39,600519
38,2001-10-25,-136.697,-136.794,-136.685,-136.797,16036.86,600519
39,2001-10-26,-136.816,-136.78,-136.768,-136.849,9002.2,600519
40,2001-10-29,-136.794,-136.745,-136.706,-136.794,4587.86,600519
41,2001-10-30,-136.751,-136.78,-136.722,-136.79,3484.17,600519
42,2001-10-31,-136.78,-136.774,-136.77,-136.804,4762.47,600519
43,2001-11-01,-136.774,-136.713,-136.704,-136.786,6643.03,600519
44,2001-11-02,-136.747,-136.738,-136.695,-136.761,3435.2,600519
45,2001-11-05,-136.78,-136.792,-136.749,-136.816,3690.76,600519
46,2001-11-06,-136.804,-136.762,-136.745,-136.813,2609.31,600519
47,2001-11-07,-136.78,-136.916,-136.78,-136.922,9325.38,600519
48,2001-11-08,-136.976,-136.934,-136.912,-137.019,7402.16,600519
49,2001-11-09,-136.934,-136.881,-136.842,-136.977,3760.76,600519
50,2001-11-12,-136.851,-136.946,-136.851,-136.956,2683.33,600519
51,2001-11-13,-136.984,-136.941,-136.934,-136.992,2673.81,600519
52,2001-11-14,-136.941,-136.94,-136.899,-136.941,769.0,600519
53,2001-11-15,-136.94,-136.937,-136.922,-136.958,2193.45,600519
54,2001-11-16,-136.638,-136.888,-136.638,-136.9,9954.7,600519
55,2001-11-19,-136.881,-136.774,-136.771,-136.887,3734.61,600519
56,2001-11-20,-136.756,-136.735,-136.717,-136.792,8069.08,600519
57,2001-11-21,-136.723,-136.759,-136.721,-136.792,5114.42,600519
58,2001-11-22,-136.754,-136.766,-136.745,-136.791,4198.79,600519
59,2001-11-23,-136.779,-136.783,-136.751,-136.806,3960.9,600519
60,2001-11-26,-136.78,-136.826,-136.78,-136.839,3100.99,600519
61,2001-11-27,-136.83,-136.78,-136.772,-136.83,2569.48,600519
62,2001-11-28,-136.774,-136.774,-136.734,-136.792,3773.62,600519
63,2001-11-29,-136.779,-136.8,-136.756,-136.803,3046.18,600519
64,2001-11-30,-136.8,-136.74,-136.727,-136.804,4070.97,600519
65,2001-12-03,-136.739,-136.642,-136.63,-136.74,16037.05,600519
66,2001-12-04,-136.632,-136.637,-136.63,-136.684,6894.99,600519
67,2001-12-05,-136.543,-136.662,-136.543,-136.666,15028.35,600519
68,2001-12-06,-136.674,-136.655,-136.626,-136.685,6372.22,600519
69,2001-12-07,-136.65,-136.678,-136.638,-136.685,3908.2,600519
70,2001-12-10,-136.662,-136.663,-136.652,-136.696,4161.56,600519
71,2001-12-11,-136.662,-136.704,-136.662,-136.708,3580.02,600519
72,2001-12-12,-136.709,-136.689,-136.65,-136.709,4632.67,600519
73,2001-12-13,-136.708,-136.749,-136.665,-136.756,3540.45,600519
74,2001-12-14,-136.778,-136.756,-136.721,-136.778,2841.25,600519
75,2001-12-17,-136.767,-136.738,-136.708,-136.774,4413.89,600519
76,2001-12-18,-136.723,-136.674,-136.666,-136.768,4821.2,600519
77,2001-12-19,-136.674,-136.666,-136.604,-136.706,9620.01,600519
78,2001-12-20,-136.674,-136.809,-136.674,-136.822,11362.23,600519
79,2001-12-21,-136.816,-136.677,-136.665,-136.816,8135.04,600519
80,2001-12-24,-136.663,-136.612,-136.514,-136.684,27250.79,600519
81,2001-12-25,-136.608,-136.602,-136.576,-136.668,12182.6,600519
82,2001-12-26,-136.598,-136.521,-136.514,-136.65,16809.52,600519
83,2001-12-27,-136.517,-136.505,-136.444,-136.553,23284.78,600519
84,2001-12-28,-136.508,-136.508,-136.472,-136.557,12279.32,600519
85,2001-12-31,-136.464,-136.36,-136.271,-136.489,52195.41,600519
86,2002-01-04,-136.34,-136.478,-136.33,-136.49,29109.62,600519
87,2002-01-07,-136.525,-136.502,-136.484,-136.581,18942.95,600519
88,2002-01-08,-136.543,-136.592,-136.473,-136.605,13286.64,600519
89,2002-01-09,-136.602,-136.559,-136.522,-136.62,10606.82,600519
90,2002-01-10,-136.546,-136.515,-136.497,-136.62,18815.55,600519
91,2002-01-11,-136.542,-136.656,-136.527,-136.662,11834.75,600519
92,2002-01-14,-136.697,-136.65,-136.614,-136.729,18718.51,600519
93,2002-01-15,-136.664,-136.598,-136.537,-136.672,18247.41,600519
94,2002-01-16,-136.605,-136.62,-136.547,-136.733,13974.33,600519
95,2002-01-17,-136.638,-136.773,-136.604,-136.816,24180.31,600519
96,2002-01-18,-136.804,-136.585,-136.557,-136.816,32262.08,600519
97,2002-01-21,-136.626,-136.677,-136.591,-136.711,15755.93,600519
98,2002-01-22,-136.685,-136.61,-136.549,-136.685,13485.67,600519
99,2002-01-23,-136.585,-136.47,-136.466,-136.638,23336.48,600519
100,2002-01-24,-136.501,-136.509,-136.44,-136.567,26615.8,600519
101,2002-01-25,-136.515,-136.531,-136.476,-136.567,13941.12,600519
102,2002-01-28,-136.543,-136.722,-136.509,-136.745,21667.82,600519
103,2002-01-29,-136.756,-136.702,-136.638,-136.783,11872.0,600519
104,2002-01-30,-136.709,-136.711,-136.629,-136.756,8419.22,600519
105,2002-01-31,-136.662,-136.472,-136.425,-136.662,40828.3,600519
106,2002-02-01,-136.484,-136.536,-136.427,-136.555,17345.03,600519
107,2002-02-04,-136.522,-136.434,-136.407,-136.543,16510.19,600519
108,2002-02-05,-136.433,-136.437,-136.344,-136.469,11195.73,600519
109,2002-02-06,-136.441,-136.522,-136.412,-136.533,9668.54,600519
110,2002-02-07,-136.522,-136.495,-136.434,-136.529,6688.17,600519
111,2002-02-08,-136.472,-136.466,-136.401,-136.475,12569.31,600519
112,2002-02-26,-136.426,-136.452,-136.366,-136.49,14815.99,600519
113,2002-02-27,-136.443,-136.433,-136.413,-136.484,8290.81,600519
114,2002-02-28,-136.425,-136.425,-136.37,-136.451,12506.98,600519
115,2002-03-01,-136.431,-136.497,-136.407,-136.52,7421.45,600519
116,2002-03-04,-136.502,-136.42,-136.415,-136.529,5224.85,600519
117,2002-03-05,-136.418,-136.355,-136.294,-136.441,22188.87,600519
118,2002-03-06,-136.33,-136.382,-136.297,-136.422,18620.14,600519
119,2002-03-07,-136.401,-136.366,-136.354,-136.419,13616.02,600519
120,2002-03-08,-136.36,-136.232,-136.214,-136.36,35326.81,600519
121,2002-03-11,-136.225,-136.253,-136.225,-136.298,17606.0,600519
122,2002-03-12,-136.253,-136.366,-136.253,-136.366,17251.85,600519
123,2002-03-13,-136.388,-136.396,-136.33,-136.402,7793.99,600519
124,2002-03-14,-136.412,-136.351,-136.342,-136.419,6387.74,600519
125,2002-03-15,-136.422,-136.434,-136.318,-136.443,11892.88,600519
126,2002-03-18,-136.411,-136.425,-136.33,-136.437,6070.27,600519
